Time,L1,T1,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,B5.MN_h:m
3/19/16 22:1:18,93,8,0,0,0,0,0,0,0,0,182
3/19/16 22:7:20,95,8,0,0,0,0,0,0,0,0,188
3/19/16 22:13:21,95,8,0,0,0,0,0,0,0,0,194
3/19/16 22:19:21,97,8,0,0,0,0,0,0,0,0,200
3/19/16 22:25:22,97,8,0,0,0,0,0,0,0,0,206
3/19/16 22:31:23,97,8,0,0,0,0,0,0,0,0,212
3/19/16 22:37:25,97,8,0,0,0,0,0,0,0,0,218
3/19/16 22:43:26,97,8,0,0,0,0,0,0,0,0,224
3/19/16 22:49:26,97,8,0,0,0,0,0,0,0,0,230
3/19/16 22:55:27,97,8,0,0,0,0,0,0,0,0,236
3/19/16 23:1:28,97,8,0,0,0,0,0,0,0,0,242
3/19/16 23:7:30,97,8,0,0,0,0,0,0,0,0,248
3/19/16 23:13:31,97,8,0,0,0,0,0,0,0,0,254
3/19/16 23:19:31,97,8,0,0,0,0,0,0,0,0,260
3/19/16 23:25:32,98,8,0,0,0,0,0,0,0,0,266
3/19/16 23:31:33,98,8,0,0,0,0,0,0,0,0,272
3/19/16 23:37:35,99,8,0,0,0,0,0,0,0,0,278
3/19/16 23:43:36,99,8,0,0,0,0,0,0,0,0,284
3/19/16 23:49:36,101,8,0,0,0,0,0,0,0,0,290
3/19/16 23:55:37,101,8,0,0,0,0,0,0,0,0,296
3/20/16 0:1:38,102,8,0,0,0,0,0,0,0,0,302
3/20/16 0:7:40,103,8,0,0,0,0,0,0,0,0,308
3/20/16 0:13:41,103,8,0,0,0,0,0,0,0,0,314
3/20/16 0:19:41,104,8,0,0,0,0,0,0,0,0,320
3/20/16 0:25:42,104,8,0,0,0,0,0,0,0,0,326
3/20/16 0:31:43,105,8,0,0,0,0,0,0,0,0,332
3/20/16 0:37:45,105,8,0,0,0,0,0,0,0,0,338
3/20/16 0:43:46,101,8,0,0,0,1,0,0,0,0,0
3/20/16 0:49:46,88,8,0,0,0,0,0,0,0,0,2
3/20/16 0:55:47,88,8,0,0,0,0,0,0,0,0,8
3/20/16 1:1:48,88,8,0,0,0,0,0,0,0,0,14
3/20/16 1:7:50,88,8,0,0,0,0,0,0,0,0,20
3/20/16 1:13:51,89,8,0,0,0,0,0,0,0,0,26
3/20/16 1:19:51,89,8,0,0,0,0,0,0,0,0,32
3/20/16 1:25:52,89,8,0,0,0,0,0,0,0,0,38
3/20/16 1:31:54,89,8,0,0,0,0,0,0,0,0,44
3/20/16 1:37:55,89,8,0,0,0,0,0,0,0,0,50
3/20/16 1:43:56,89,8,0,0,0,0,0,0,0,0,56
3/20/16 1:49:56,89,8,0,0,0,0,0,0,0,0,62
3/20/16 1:55:57,89,8,0,0,0,0,0,0,0,0,68
3/20/16 2:1:59,89,8,0,0,0,0,0,0,0,0,74
3/20/16 2:8:0,89,8,0,0,0,0,0,0,0,0,80
3/20/16 2:14:1,89,8,0,0,0,0,0,0,0,0,86
3/20/16 2:20:1,88,8,0,0,0,0,0,0,0,0,92
3/20/16 2:26:2,89,8,0,0,0,0,0,0,0,0,98
3/20/16 2:32:4,89,8,0,0,0,0,0,0,0,0,104
3/20/16 2:38:5,89,8,0,0,0,0,0,0,0,0,110
3/20/16 2:44:5,89,8,0,0,0,0,0,0,0,0,116
3/20/16 2:50:6,89,8,0,0,0,0,0,0,0,0,122
3/20/16 2:56:7,89,8,0,0,0,0,0,0,0,0,128
3/20/16 3:2:9,89,8,0,0,0,0,0,0,0,0,134
3/20/16 3:8:10,89,8,0,0,0,0,0,0,0,0,140
3/20/16 3:14:10,89,8,0,0,0,0,0,0,0,0,147
3/20/16 3:20:11,89,8,0,0,0,0,0,0,0,0,153
3/20/16 3:26:12,89,8,0,0,0,0,0,0,0,0,159
3/20/16 3:32:14,89,8,0,0,0,0,0,0,0,0,165
3/20/16 3:38:15,89,8,0,0,0,0,0,0,0,0,171
3/20/16 3:44:15,89,8,0,0,0,0,0,0,0,0,177
3/20/16 3:50:16,89,8,0,0,0,0,0,0,0,0,183
3/20/16 3:56:17,89,8,0,0,0,0,0,0,0,0,189
3/20/16 4:2:19,89,8,0,0,0,0,0,0,0,0,195
3/20/16 4:8:20,89,8,0,0,0,0,0,0,0,0,201
3/20/16 4:14:20,89,8,0,0,0,0,0,0,0,0,207
3/20/16 4:20:21,89,8,0,0,0,0,0,0,0,0,213
3/20/16 4:26:22,89,8,0,0,0,0,0,0,0,0,219
3/20/16 4:32:24,89,8,0,0,0,0,0,0,0,0,225
3/20/16 4:38:25,89,8,0,0,0,0,0,0,0,0,231
3/20/16 4:44:25,89,8,0,0,0,0,0,0,0,0,237
3/20/16 4:50:26,89,8,0,0,0,0,0,0,0,0,243
3/20/16 4:56:27,89,8,0,0,0,0,0,0,0,0,249
3/20/16 5:2:29,89,8,0,0,0,0,0,0,0,0,255
3/20/16 5:8:30,89,8,0,0,0,0,0,0,0,0,261
3/20/16 5:14:30,89,8,0,0,0,0,0,0,0,0,267
3/20/16 5:20:31,89,8,0,0,0,0,0,0,0,0,273
3/20/16 5:26:32,89,8,0,0,0,0,0,0,0,0,279
3/20/16 5:32:34,89,8,0,0,0,0,0,0,0,0,285
3/20/16 5:38:35,89,8,0,0,0,0,0,0,0,0,291
3/20/16 5:44:35,89,8,0,0,0,0,0,0,0,0,297
3/20/16 5:50:36,89,8,0,0,0,0,0,0,0,0,303
3/20/16 5:56:37,89,8,0,0,0,0,0,0,0,0,309
3/20/16 6:2:39,89,8,0,0,0,0,0,0,0,0,315
3/20/16 6:8:40,89,8,0,0,0,0,0,0,0,0,321
3/20/16 6:14:40,89,8,0,0,0,0,0,0,0,0,327
3/20/16 6:20:41,89,8,0,0,0,0,0,0,0,0,333
3/20/16 6:26:43,89,8,0,0,0,0,0,0,0,0,339
3/20/16 6:32:44,89,8,0,0,0,0,0,0,0,0,345
3/20/16 6:38:45,90,8,0,0,0,0,0,0,0,0,351
3/20/16 6:44:45,90,8,0,0,0,0,0,0,0,0,357
3/20/16 6:50:46,90,8,0,0,0,0,0,0,0,0,363
3/20/16 6:56:48,90,8,0,0,0,0,0,0,0,0,369
3/20/16 7:2:49,90,8,0,0,0,0,0,0,0,0,375
3/20/16 7:8:50,90,8,0,0,0,0,0,0,0,0,381
